Club,Type,Target,Total,Side,Shot Quality,Date,Lie,End Lie,Quality,Notes
 PW, Approach,51.64236226,63.85267,-4, Pro, 2025-10-30 20:39:07 +0000, Recovery, Green, Low, #straight#normal
 Pu, Putting,13.81054739,13.82937661,3, 25 Handicap, 2025-10-30 20:39:07 +0000, Green, Green, left,
 Pu, Putting,3.6597222,3.6597222,-4, 25 Handicap, 2025-10-30 20:39:07 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,-7, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 Dr, Driving,342.8198428,62.04982703,5, 25 Handicap, 2025-10-30 20:39:07 +0000, Tee, Rough, Center, #straight#low
 4H, Approach,285.0173351,121.002421,3, 5 Handicap, 2025-10-30 20:39:07 +0000, Rough, Fairway, , #straight#normal
 4H, Approach,169.0684407,58.87603377,4, 20 Handicap, 2025-10-30 20:39:07 +0000, Fairway, Fairway, Low, #straight#low
 6I, Approach,110.8394355,132.2885768,5, 20 Handicap, 2025-10-30 20:39:07 +0000, Fairway, Rough, Center, #straight#high#intended
 9I, Short,21.49876919,21.16681367,-3, 5 Handicap, 2025-10-30 20:39:07 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,5.232676992,7.016225297,-4, 25 Handicap, 2025-10-30 20:39:07 +0000, Green, Green, long,
 Pu, Putting,1.836026503,1.836026503,-5, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 7I, Approach,111.3864185,83.73534277,33, 15 Handicap, 2025-10-30 20:39:07 +0000, Tee, Sand, Toe, #slice#straight
 SW, Short,30.54241588,5.201856844,6, 20 Handicap, 2025-10-30 20:39:07 +0000, Sand, Sand, Center, #straight
 , Short,28.74251307,13.24213887,-4, 20 Handicap, 2025-10-30 20:39:07 +0000, Sand, Rough, ,
 SW, Short,16.10586008,24.35492001,-6, 10 Handicap, 2025-10-30 20:39:07 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,8.777141969,9.974182002,6, 25 Handicap, 2025-10-30 20:39:07 +0000, Green, Green, long,
 Pu, Putting,1.249756895,1.249756895,-6, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 Dr, Driving,332.2169824,170.7978364,-6, 15 Handicap, 2025-10-30 20:39:07 +0000, Tee, Rough, Center, #fade#straight#normal#intended
 7I, Approach,169.3977601,125.7829781,0, 10 Handicap, 2025-10-30 20:39:07 +0000, Rough, Rough, Low, #pull#low
 SW, Short,44.52914515,27.04392138,6, 15 Handicap, 2025-10-30 20:39:07 +0000, Rough, Rough, Low, #straight#low
 SW, Short,17.4889158,27.04392137,-4, Elite Am, 2025-10-30 20:39:07 +0000, Rough, Green, Center, #straight#high#intended
 Pu, Putting,3,0,-6, 25 Handicap, 2025-10-30 20:39:07 +0000, Green, Green, long,
 Pu, Putting,0.6096,9.572196761,-4, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 Dr, Driving,314.910785,216.7137042,4, Pro, 2025-10-30 20:39:07 +0000, Tee, Fairway, Center, #straight#normal#intended
 7I, Approach,104.9412092,13.13307611,-5, 25 Handicap, 2025-10-30 20:39:07 +0000, Fairway, Fairway, High, #straight#low
 7I, Approach,91.88429418,69.23159849,5, 20 Handicap, 2025-10-30 20:39:07 +0000, Fairway, Rough, Low,
 PW, Short,28.43698416,42.14915381,-4, 20 Handicap, 2025-10-30 20:39:07 +0000, Rough, Rough, Center, #straight#normal#intended
 Pu, Short,15.35225663,15.35225663,-6, Pro, 2025-10-30 20:39:07 +0000, Rough, Green, ,
 Pu, Putting,0.6096,0,3, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 Dr, Driving,312.9845831,165.27973,-4, 0 Handicap, 2025-10-30 20:39:07 +0000, Tee, Fairway, Center, #straight#normal#intended
 5H, Approach,149.5193636,83.01005523,-3, 25 Handicap, 2025-10-30 20:39:07 +0000, Fairway, Sand, Low, #straight#low
 7I, Approach,67.92452521,76.55672275,-3, Pro, 2025-10-30 20:39:07 +0000, Sand, Green, Center, #straight#normal
 Pu, Putting,8.632680841,8.632680841,3, 0 Handicap, 2025-10-30 20:39:07 +0000, Green, Green, right,
 Pu, Putting,0.6096,0,4, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 Dr, Driving,346.7306402,219.4683126,6, Pro, 2025-10-30 20:39:07 +0000, Tee, Fairway, ,
 5H, Approach,139.4411877,143.1765417,-6, Pro, 2025-10-30 20:39:07 +0000, Fairway, Green, Center, #straight#normal#intended
 Pu, Putting,7.626648933,7.813458298,4, 5 Handicap, 2025-10-30 20:39:07 +0000, Green, Green, short,
 Pu, Putting,0.230866706,0.230866706,-5, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 6I, Approach,140.3182111,81.05160354,-5, 25 Handicap, 2025-10-30 20:39:07 +0000, Tee, Rough, Low, #straight#low
 9I, Approach,90.60897636,85.40987821,5, 15 Handicap, 2025-10-30 20:39:07 +0000, Rough, Sand, Center, #fade#straight#intended
 SW, Short,22.48395679,29.38748046,-6, 15 Handicap, 2025-10-30 20:39:07 +0000, Sand, Fairway, Center, #straight#normal#intended
 Pu, Short,6.928745577,7.500295963,-4, Pro, 2025-10-30 20:39:07 +0000, Fairway, Green, ,
 Pu, Putting,0.907192316,1.283817445,6, 25 Handicap, 2025-10-30 20:39:07 +0000, Green, Green, right,
 Pu, Putting,0.379933763,0.379933763,5, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 Dr, Driving,342.2872237,175.5720218,-4, 5 Handicap, 2025-10-30 20:39:07 +0000, Tee, Fairway, High, #straight#high
 4H, Approach,175.2864709,148.4889391,0, 15 Handicap, 2025-10-30 20:39:07 +0000, Fairway, Rough, Low, #pull#low
 8I, Short,32.88471883,26.77651685,7, 10 Handicap, 2025-10-30 20:39:07 +0000, Rough, Green, Low, #straight#low
 Pu, Putting,19.7643343,18.48016848,-6, 0 Handicap, 2025-10-30 20:39:07 +0000, Green, Green, left,
 Pu, Putting,1.679185185,1.679185185,6, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 Dr, Driving,420.7205314,168.2362436,50, 25 Handicap, 2025-10-30 20:39:07 +0000, Tee, Rough, Center, #slice#straight#normal
 5H, Approach,259.6728881,159.3954459,4, 5 Handicap, 2025-10-30 20:39:07 +0000, Rough, Rough, Center, #straight#normal#intended
 7I, Approach,121.6006636,53.58455541,4, 15 Handicap, 2025-10-30 20:39:07 +0000, Rough, Fairway, High, #straight#normal
 8I, Approach,68.89496908,65.66687153,3, Pro, 2025-10-30 20:39:07 +0000, Fairway, Green, Center, #straight#low#intended
 Pu, Putting,3.305893104,3.305893104,-5, 25 Handicap, 2025-10-30 20:39:07 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,-3, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 Dr, Driving,255.7883437,177.3337381,-5, 10 Handicap, 2025-10-30 20:39:07 +0000, Tee, Rough, Center, #fade#straight#normal#intended
 9I, Approach,80.81133059,94.75188557,-3, 10 Handicap, 2025-10-30 20:39:07 +0000, Rough, Rough, Center, #straight#normal#intended
 Pu, Short,14.1100103,7.780164967,-4, 20 Handicap, 2025-10-30 20:39:07 +0000, Rough, Rough, ,
 Pu, Short,6.345928484,6.63440521,-4, Pro, 2025-10-30 20:39:07 +0000, Rough, Green, ,
 Pu, Putting,0.332515884,0.332515884,-4, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 Dr, Driving,289.7054319,82.10788701,-5, 25 Handicap, 2025-10-30 20:39:07 +0000, Tee, Rough, ,
 5W, Approach,216.3403864,62.03228742,-7, 10 Handicap, 2025-10-30 20:39:07 +0000, Rough, Fairway, ,
 Dr, Approach,157.4165102,84.93204309,-3, 25 Handicap, 2025-10-30 20:39:07 +0000, Tee, Rough, ,
 7I, Approach,99.40857735,60.01392554,-4, 20 Handicap, 2025-10-30 20:39:07 +0000, Rough, Rough, ,
 , Short,43.91083402,21.95541701,-3, 15 Handicap, 2025-10-30 20:39:07 +0000, Rough, Rough, ,
 , Short,21.95541701,21.95541701,-3, Pro, 2025-10-30 20:39:07 +0000, Rough, Green, ,
 Pu, Putting,3,0,7, 25 Handicap, 2025-10-30 20:39:07 +0000, Green, Green, short,
 Pu, Putting,0.7,0,5, 25 Handicap, 2025-10-30 20:39:07 +0000, Green, Green, long,
 Pu, Putting,0.6096,0,-4, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 4H, Approach,181.9655129,153.366792,-21, 25 Handicap, 2025-10-30 20:39:07 +0000, Tee, Recovery, Center, #draw#pull#normal
 GW, Approach,50.35955869,42.22339085,-3, Pro, 2025-10-30 20:39:07 +0000, Recovery, Rough, Center, #straight#normal
 GW, Short,9.588042265,6.92903606,-6, 5 Handicap, 2025-10-30 20:39:07 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,4.06046615,4.06046615,-6, 25 Handicap, 2025-10-30 20:39:07 +0000, Green, Green, long,
 Pu, Putting,0.6096,0,-7, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 Dr, Driving,420.0493164,189.9245992,7, 10 Handicap, 2025-10-30 20:39:07 +0000, Tee, Fairway, Center, #fade#straight#normal
 4H, Approach,232.5292733,182.213637,-15, 5 Handicap, 2025-10-30 20:39:07 +0000, Fairway, Fairway, Center, #draw#straight#normal#intended
 8I, Approach,50.31748461,38.54577477,-3, 10 Handicap, 2025-10-30 20:39:07 +0000, Fairway, Green, Center, #straight#normal
 Pu, Putting,13.57005417,13.57005417,-4, Pro, 2025-10-30 20:39:07 +0000, Green, Green, left,
 Pu, Putting,0.6096,0,-7, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 Dr, Driving,362.2029871,175.2597052,-7, 10 Handicap, 2025-10-30 20:39:07 +0000, Tee, Fairway, Center, #straight#high
 4H, Approach,203.7632985,160.6027158,-5, 5 Handicap, 2025-10-30 20:39:07 +0000, Fairway, Fairway, Center, #straight#low
 9I, Approach,51.54545806,25.77272903,3, 25 Handicap, 2025-10-30 20:39:07 +0000, Fairway, Rough, , #straight#low#intended
 9I, Short,25.77272903,40.96464069,-7, 10 Handicap, 2025-10-30 20:39:07 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,15.50338631,15.50338631,7, Pro, 2025-10-30 20:39:07 +0000, Green, Green, right,
 Pu, Putting,0.6096,0,6, Pro, 2025-10-30 20:39:07 +0000, Green, Green, holed,
 Dr, Driving,313.2366165,170.8531263,6, 10 Handicap, 2025-11-01 20:19:59 +0000, Tee, Sand, Center, #fade#straight#normal
 8I, Approach,142.5242709,121.1164173,-5, 10 Handicap, 2025-11-01 20:19:59 +0000, Sand, Rough, Center, #fade#straight#normal#intended
 Pu, Short,24.16132888,15.24728011,-7, 5 Handicap, 2025-11-01 20:19:59 +0000, Rough, Green, ,
 Pu, Putting,9.897502253,9.897503349,-7, Elite Am, 2025-11-01 20:19:59 +0000, Green, Green, right,
 Pu, Putting,0.6096,0,-3, Pro, 2025-11-01 20:19:59 +0000, Green, Green, holed,
 6I, Approach,154.9561483,144.0191929,-10, 15 Handicap, 2025-11-01 20:19:59 +0000, Tee, Rough, Heel, #draw#straight#normal
 PW, Short,18.46589234,17.24040856,-7, Pro, 2025-11-01 20:19:59 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,2.851754323,4.061568872,7, 25 Handicap, 2025-11-01 20:19:59 +0000, Green, Green, long,
 Pu, Putting,1.210081684,1.210081684,6, Pro, 2025-11-01 20:19:59 +0000, Green, Green, holed,
 Dr, Driving,381.2364903,82.06617659,-5, 25 Handicap, 2025-11-01 20:19:59 +0000, Tee, Rough, Heel, #straight
 6I, Approach,301.0419961,80.52745269,-4, 15 Handicap, 2025-11-01 20:19:59 +0000, Rough, Rough, Center, #straight#low#intended
 4H, Approach,226.8617453,20.77851272,3, 20 Handicap, 2025-11-01 20:19:59 +0000, Rough, Rough, Low, #straight#low
 4H, Approach,206.1870535,60.80715086,-7, 15 Handicap, 2025-11-01 20:19:59 +0000, Rough, Rough, Low, #straight#low
 4H, Approach,145.4066327,143.7711891,3, Pro, 2025-11-01 20:19:59 +0000, Rough, Green, Center, #straight#normal#intended
 , Putting,7.982845481,11.1398813,-7, 25 Handicap, 2025-11-01 20:19:59 +0000, Green, Green, short,
 Pu, Putting,3.651300756,3.651300756,6, 25 Handicap, 2025-11-01 20:19:59 +0000, Green, Green, long,
 Pu, Putting,0.6096,0,3, Pro, 2025-11-01 20:19:59 +0000, Green, Green, holed,
 7I, Approach,138.4443096,69.49831801,-3, 25 Handicap, 2025-11-01 20:19:59 +0000, Tee, Rough, Low, #straight#low
 8I, Approach,69.14922428,51.34668051,6, Pro, 2025-11-01 20:19:59 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,3.488159335,18.89226037,-7, 25 Handicap, 2025-11-01 20:19:59 +0000, Green, Green, left,
 Pu, Putting,2.494792283,2.283229917,-4, 25 Handicap, 2025-11-01 20:19:59 +0000, Green, Green, right,
 Pu, Putting,0.499049003,0.499049003,4, Pro, 2025-11-01 20:19:59 +0000, Green, Green, holed,
 Dr, Driving,390.6568482,149.7278755,50, 25 Handicap, 2025-11-01 20:19:59 +0000, Tee, Rough, Center, #slice#straight#normal
 4H, Approach,260.1801679,127.8164042,0, 5 Handicap, 2025-11-01 20:19:59 +0000, Rough, Rough, Center, #pull#normal#intended
 6I, Approach,134.0281162,63.15727837,6, 15 Handicap, 2025-11-01 20:19:59 +0000, Rough, Fairway, Center, #straight#low#intended
 PW, Approach,72.7355186,74.17894449,-7, 5 Handicap, 2025-11-01 20:19:59 +0000, Fairway, Green, Low, #straight#low
 Pu, Putting,9.449134637,9.449134637,4, 0 Handicap, 2025-11-01 20:19:59 +0000, Green, Green, short,
 Pu, Putting,0.7,0.434884117,4, 25 Handicap, 2025-11-01 20:19:59 +0000, Green, Green, left,
 Pu, Putting,0.434884117,0.434884117,6, Pro, 2025-11-01 20:19:59 +0000, Green, Green, holed,
 Dr, Driving,364.1404173,152.4435276,7, 20 Handicap, 2025-11-01 20:19:59 +0000, Tee, Rough, Center, #fade#straight#low
 4H, Approach,212.3188303,96.62824642,5, 5 Handicap, 2025-11-01 20:19:59 +0000, Rough, Fairway, Center, #straight#normal#intended
 7I, Approach,116.483342,122.9147698,-7, 15 Handicap, 2025-11-01 20:19:59 +0000, Fairway, Rough, Low, #straight#low
 SW, Short,14.27798811,23.75405904,-7, 10 Handicap, 2025-11-01 20:19:59 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,9.622845886,9.819522043,4, Elite Am, 2025-11-01 20:19:59 +0000, Green, Green, left,
 Pu, Putting,0.204909893,0.204909893,5, Pro, 2025-11-01 20:19:59 +0000, Green, Green, holed,
 Dr, Driving,324.7551148,137.5366475,34, 20 Handicap, 2025-11-01 20:19:59 +0000, Tee, Rough, Center, #slice#straight#normal
 4H, Approach,191.0654576,120.0096042,-7, 10 Handicap, 2025-11-01 20:19:59 +0000, Rough, Rough, Center, #straight#normal
 6I, Approach,72.26555016,52.33062595,-4, 10 Handicap, 2025-11-01 20:19:59 +0000, Rough, Fairway, Center, #straight#low#intended
 PW, Short,20.04691683,33.11249271,6, 15 Handicap, 2025-11-01 20:19:59 +0000, Fairway, Green, Low, #straight#low
 Pu, Putting,13.11430622,11.55500297,-4, 25 Handicap, 2025-11-01 20:19:59 +0000, Green, Green, short,
 Pu, Putting,1.630518905,1.630518905,-7, Pro, 2025-11-01 20:19:59 +0000, Green, Green, holed,
 4H, Driving,154.4233713,122.1775582,6, 25 Handicap, 2025-11-01 20:19:59 +0000, Tee, Sand, Center, #straight#high
 SW, Short,37.99238763,56.30052853,-7, 20 Handicap, 2025-11-01 20:19:59 +0000, Sand, Rough, Low, #straight#normal
 , Short,28.8860725,24.01272879,5, 15 Handicap, 2025-11-01 20:19:59 +0000, Rough, Rough, ,
 Pu, Short,5.617645619,14.29286068,6, 15 Handicap, 2025-11-01 20:19:59 +0000, Rough, Green, ,
 , Putting,11.16608154,9.904957894,-4, 25 Handicap, 2025-11-01 20:19:59 +0000, Green, Green, short,
 Pu, Putting,1.397672833,1.397672833,-6, Pro, 2025-11-01 20:19:59 +0000, Green, Green, holed,
 Dr, Driving,329.6071483,186.1339269,-5, Elite Am, 2025-11-01 20:19:59 +0000, Tee, Fairway, Center, #straight#normal#intended
 5H, Approach,144.8293371,126.701214,6, 5 Handicap, 2025-11-01 20:19:59 +0000, Fairway, Green, Center, #straight#low
 Pu, Putting,18.1655604,20.66639552,7, 25 Handicap, 2025-11-01 20:19:59 +0000, Green, Green, long,
 Pu, Putting,2.510690054,4.643139845,-7, 25 Handicap, 2025-11-01 20:19:59 +0000, Green, Green, left,
 Pu, Putting,2.153036758,2.153036758,-3, 25 Handicap, 2025-11-01 20:19:59 +0000, Green, Green, left,
 Pu, Putting,0.14,0,-6, Pro, 2025-11-01 20:19:59 +0000, Green, Green, ,
 Dr, Driving,314.1994027,177.0899898,-6, 10 Handicap, 2025-11-09 00:58:42 +0000, Tee, Rough, ,
 6I, Approach,139.0972194,80.37231085,3, 10 Handicap, 2025-11-09 00:58:42 +0000, Rough, Fairway, Center, #straight#low#intended
 GW, Approach,63.16339902,81.414337,-4, 20 Handicap, 2025-11-09 00:58:42 +0000, Fairway, Rough, ,
 GW, Short,18.59002774,23.17087043,-7, 5 Handicap, 2025-11-09 00:58:42 +0000, Rough, Green, Center, #straight#low
 Pu, Putting,5.073730312,5.073730312,7, 25 Handicap, 2025-11-09 00:58:42 +0000, Green, Green, right,
 Pu, Putting,0.6096,0,6, Pro, 2025-11-09 00:58:42 +0000, Green, Green, holed,
 9I, Approach,101.2792709,80.58398167,-3, 10 Handicap, 2025-11-09 00:58:42 +0000, Tee, Fairway, ,
 9I, Short,20.87466345,14.72047008,5, 10 Handicap, 2025-11-09 00:58:42 +0000, Fairway, Green, Center, #straight#low#intended
 Pu, Putting,6.257991457,6.700799603,4, 20 Handicap, 2025-11-09 00:58:42 +0000, Green, Green, right,
 Pu, Putting,0.450897066,0.450897066,5, Pro, 2025-11-09 00:58:42 +0000, Green, Green, holed,
 8I, Approach,106.1807517,90.81034694,0, 15 Handicap, 2025-11-09 00:58:42 +0000, Tee, Sand, Heel, #pull#normal
 SW, Short,21.82319003,8.126751248,7, 10 Handicap, 2025-11-09 00:58:42 +0000, Sand, Green, Center, #straight#normal
 Pu, Putting,10.14865233,16.35454405,-3, 25 Handicap, 2025-11-09 00:58:42 +0000, Green, Green, right,
 Pu, Putting,5.467430014,5.623574229,4, 25 Handicap, 2025-11-09 00:58:42 +0000, Green, Green, right,
 Pu, Putting,0.667403815,0.667403815,5, Pro, 2025-11-09 00:58:42 +0000, Green, Green, holed,
 7I, Approach,110.0243283,118.9361649,-3, Pro, 2025-11-09 00:58:42 +0000, Tee, Green, Center, #straight#normal#intended
 Pu, Putting,8.05249464,10.11458745,-3, 15 Handicap, 2025-11-09 00:58:42 +0000, Green, Green, right,
 Pu, Putting,0.956299474,0.956299474,5, Pro, 2025-11-09 00:58:42 +0000, Green, Green, holed,
 9I, Approach,100.3510265,90.27401681,-7, 10 Handicap, 2025-11-09 00:58:42 +0000, Tee, Fairway, Center, #straight#normal
 Pu, Short,13.05616652,13.23478978,3, Pro, 2025-11-09 00:58:42 +0000, Fairway, Green, ,
 Pu, Putting,1.209517793,1.209517793,-7, Pro, 2025-11-09 00:58:42 +0000, Green, Green, holed,
 Dr, Driving,235.2599617,188.3535662,-5, 15 Handicap, 2025-11-09 00:58:42 +0000, Tee, Rough, Center, #straight#normal#intended
 6I, Approach,54.00843491,42.03391237,7, 10 Handicap, 2025-11-09 00:58:42 +0000, Rough, Fairway, Center, #straight#low#intended
 PW, Short,16.36289059,22.89473235,-3, 10 Handicap, 2025-11-09 00:58:42 +0000, Fairway, Green, Center, #straight#normal#intended
 Pu, Putting,4.396744026,5.951521167,-6, 25 Handicap, 2025-11-09 00:58:42 +0000, Green, Green, short,
 Pu, Putting,0.737048756,0.737048756,-7, Pro, 2025-11-09 00:58:42 +0000, Green, Green, holed,
 5H, Approach,130.207805,131.8651696,3, Pro, 2025-11-09 00:58:42 +0000, Tee, Green, Center, #straight#normal#intended
 Pu, Putting,6.162345432,5.844387235,-6, 20 Handicap, 2025-11-09 00:58:42 +0000, Green, Green, right,
 Pu, Putting,0.376397374,0.376397374,5, Pro, 2025-11-09 00:58:42 +0000, Green, Green, holed,
 6I, Approach,126.4998488,123.8588418,0, 10 Handicap, 2025-11-09 00:58:42 +0000, Tee, Sand, Heel, #pull#normal
 SW, Short,13.28436846,24.45229462,-7, 20 Handicap, 2025-11-09 00:58:42 +0000, Sand, Rough, ,
 PW, Short,11.83821215,12.26425225,-5, 10 Handicap, 2025-11-09 00:58:42 +0000, Rough, Green, Center, #straight#normal
 Pu, Putting,7.315166346,11.1326533,4, 25 Handicap, 2025-11-09 00:58:42 +0000, Green, Green, long,
 , Putting,3.847701154,3.847701154,7, 25 Handicap, 2025-11-09 00:58:42 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,6, Pro, 2025-11-09 00:58:42 +0000, Green, Green, holed,
 7I, Approach,117.3728301,128.0710143,-7, Pro, 2025-11-09 00:58:42 +0000, Tee, Green, Low, #fade#straight#normal
 Pu, Putting,8.872560023,9.471257613,-7, 25 Handicap, 2025-11-09 00:58:42 +0000, Green, Green, short,
 Pu, Putting,4.370135896,3.893308487,-3, 25 Handicap, 2025-11-09 00:58:42 +0000, Green, Green, right,
 Pu, Putting,0.499722397,0.499722397,7, Pro, 2025-11-09 00:58:42 +0000, Green, Green, holed,
 Dr, Approach,337.4227192,119.8582396,-7, 10 Handicap, 2025-11-15 19:52:08 +0000, Tee, Fairway, High, #straight#high
 4H, Approach,220.6929019,124.1455131,-7, 15 Handicap, 2025-11-15 19:52:08 +0000, Fairway, Rough, Center, #straight#normal#intended
 9I, Approach,97.73053165,92.98069375,0, 15 Handicap, 2025-11-15 19:52:08 +0000, Rough, Rough, Center, #pull#normal
 PW, Short,22.01979629,21.7732415,13, 10 Handicap, 2025-11-15 19:52:08 +0000, Rough, Green, Center, #push#normal
 Pu, Putting,12.54913209,12.54885536,-5, Pro, 2025-11-15 19:52:08 +0000, Green, Green, left,
 Pu, Putting,0.6096,0,5, Pro, 2025-11-15 19:52:08 +0000, Green, Green, holed,
 8I, Approach,103.0029465,137.8294704,-5, 25 Handicap, 2025-11-15 19:52:08 +0000, Tee, Recovery, Low, #straight#low
 SW, Short,35.03403131,15.35723589,3, Pro, 2025-11-15 19:52:08 +0000, Recovery, Rough, Center, #straight#low
 Pu, Short,20.12291278,16.22488065,-5, 5 Handicap, 2025-11-15 19:52:08 +0000, Rough, Green, ,
 Pu, Putting,5.185195858,5.185195858,6, 25 Handicap, 2025-11-15 19:52:08 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,3, Pro, 2025-11-15 19:52:08 +0000, Green, Green, holed,
 Dr, Driving,275.2237006,149.6291587,-5, 15 Handicap, 2025-11-15 19:52:08 +0000, Tee, Rough, Center, #fade#straight
 6I, Approach,128.0046241,88.97788502,7, 10 Handicap, 2025-11-15 19:52:08 +0000, Rough, Fairway, Center, #straight#low
 8I, Approach,46.6583621,23.32918105,7, 25 Handicap, 2025-11-15 19:52:08 +0000, Fairway, Rough, Low, #straight#low
 PW, Short,23.32918105,15.98204592,-5, 5 Handicap, 2025-11-15 19:52:08 +0000, Rough, Green, Low, #straight#low
 Pu, Putting,8.729199695,8.414328866,5, 25 Handicap, 2025-11-15 19:52:08 +0000, Green, Green, right,
 Pu, Putting,1.146380265,1.146380265,-5, Pro, 2025-11-15 19:52:08 +0000, Green, Green, holed,
 Dr, Driving,355.0239015,204.9978184,-3, Elite Am, 2025-11-15 19:52:08 +0000, Tee, Fairway, Center, #fade#straight#normal#intended
 4H, Approach,158.8164414,96.55527915,-5, 15 Handicap, 2025-11-15 19:52:08 +0000, Fairway, Fairway, Low, #straight#low
 PW, Approach,63.26689313,62.04350066,-4, 5 Handicap, 2025-11-15 19:52:08 +0000, Fairway, Green, Center, #straight#high#intended
 Pu, Putting,11.32861261,11.32861261,-6, Pro, 2025-11-15 19:52:08 +0000, Green, Green, right,
 Pu, Putting,0.6096,0,7, Pro, 2025-11-15 19:52:08 +0000, Green, Green, holed,
 Dr, Driving,313.3574043,162.1782983,-19, 25 Handicap, 2025-11-15 19:52:08 +0000, Tee, Recovery, Center, #draw#straight#normal
 4H, Approach,201.4381135,75.95544752,-4, Pro, 2025-11-15 19:52:08 +0000, Recovery, Fairway, Center, #straight#high
 6I, Approach,125.4904842,110.1500406,7, 15 Handicap, 2025-11-15 19:52:08 +0000, Fairway, Rough, Low, #fade#straight#low
 Pu, Short,15.4534514,14.76390381,4, Pro, 2025-11-15 19:52:08 +0000, Rough, Green, ,
 Pu, Putting,1.122025148,1.122025148,6, Pro, 2025-11-15 19:52:08 +0000, Green, Green, holed,
 Dr, Driving,378.1915992,181.8365493,-7, 20 Handicap, 2025-11-15 19:52:08 +0000, Tee, Rough, Center, #straight#normal#intended
 4H, Approach,202.9669011,150.4376593,-3, 5 Handicap, 2025-11-15 19:52:08 +0000, Rough, Fairway, Center, #straight#normal#intended
 9I, Approach,52.89675814,52.89675814,-6, Pro, 2025-11-15 19:52:08 +0000, Fairway, Green, Center, #straight#low#intended
 Pu, Putting,3,0,4, Pro, 2025-11-15 19:52:08 +0000, Green, Green, ,
 Dr, Driving,389.1538965,148.7038077,38, 25 Handicap, 2025-11-15 19:52:08 +0000, Tee, Rough, Center, #slice#straight#normal
 4H, Approach,241.1056198,71.4647429,3, 15 Handicap, 2025-11-15 19:52:08 +0000, Rough, Rough, Center, #straight#normal
 4H, Approach,174.6543455,114.0545285,-7, 10 Handicap, 2025-11-15 19:52:08 +0000, Rough, Rough, Center, #fade#straight#low
 GW, Approach,61.40032156,71.15700063,-7, 10 Handicap, 2025-11-15 19:52:08 +0000, Rough, Rough, Low, #straight#low
 PW, Short,10.40688202,23.09050104,3, 15 Handicap, 2025-11-15 19:52:08 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,14.08682997,14.13535819,5, Pro, 2025-11-15 19:52:08 +0000, Green, Green, right,
 Pu, Putting,0.180247543,0.180247543,-3, Pro, 2025-11-15 19:52:08 +0000, Green, Green, holed,
 7I, Approach,133.9170442,70.13069811,4, 25 Handicap, 2025-11-15 19:52:08 +0000, Tee, Rough, Low, #straight#low
 PW, Approach,64.13492934,72.36891686,4, 15 Handicap, 2025-11-15 19:52:08 +0000, Rough, Rough, Low, #straight#low
 PW, Short,16.94646341,22.17886729,6, 10 Handicap, 2025-11-15 19:52:08 +0000, Rough, Green, Center, #straight#low
 Pu, Putting,8.392732268,8.450104203,6, 0 Handicap, 2025-11-15 19:52:08 +0000, Green, Green, left,
 Pu, Putting,0.305962948,0.305962948,4, Pro, 2025-11-15 19:52:08 +0000, Green, Green, holed,
 Dr, Driving,397.8556996,186.7261422,-7, 20 Handicap, 2025-11-15 19:52:08 +0000, Tee, Rough, Center, #straight#normal
 4H, Approach,223.4287917,128.9646697,-6, 5 Handicap, 2025-11-15 19:52:08 +0000, Rough, Fairway, Center, #straight#low#intended
 8I, Approach,98.46456902,109.1988301,-3, 15 Handicap, 2025-11-15 19:52:08 +0000, Fairway, Rough, Low, #straight#low
 Pu, Short,11.18823133,11.89435159,7, Pro, 2025-11-15 19:52:08 +0000, Rough, Green, ,
 Pu, Putting,0.803066946,0.803066946,-3, Pro, 2025-11-15 19:52:08 +0000, Green, Green, holed,
 5H, Approach,144.3562648,141.5715172,-3, Pro, 2025-11-15 19:52:08 +0000, Tee, Green, Center, #straight#normal#intended
